blue soldiers,"Vintage two sovet soldiers  toy  army toy  plastic ussr 80's, blue soldiers, made in ussr, item collection",19,1,112
toy plastic,"Vintage two sovet soldiers  toy  army toy  plastic ussr 80's, blue soldiers, made in ussr, item collection",103,3,250
army toy,"Vintage two sovet soldiers  toy  army toy  plastic ussr 80's, blue soldiers, made in ussr, item collection",148,4,137
plastic toy,"Large Vintage  Army Men, Blue Plastic Toy Soldiers, Old Plastic Army Men, Made In USSR, Soviet Vintage, Military Vintage Toys, True Vintage",1128,24,250
Art & Collectibles,,> 1140,> 30,250
Dolls & Miniatures,,> 1140,> 30,250
Gift for children,,> 1140,> 30,250
item,,> 1140,> 30,250
present,,> 1140,> 30,250
collection,,> 1140,> 30,250
children toys,Retro childrens toy Vintage snake toy in wig True old toy for colection Rubber toy animal snake Memory from childhood true vintage,156,4,250
Vintage condition,,> 1140,> 30,250
present for kids,,> 1140,> 30,250
Figurines,,> 1140,> 30,250
